caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
1474,west_4,West,P,OR,9,1,Female,Single,6:30 AM – 6:44 AM,10:00 PM – 10:14 PM,8,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,Rarely, Never,Every night or almost every night, Never,A few nights a month,A few nights a week,A few nights a week,Rarely,A few nights a week,A few nights a month, Never,Yes,No,Yes,Yes,30 up to 45 minutes,Alone,Alone,Assume it will go away in time,No,None, ,Rarely, Never,Rarely,Rarely, Never,Every night or almost every night, ,Yes,As loud as talking,Don't Know,Yes,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not at all difficult, Never, Never,Rarely, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,7,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?,Not really concerned,Mostly disagree,Mostly agree,Don't Know,Mostly agree,Morning person,03,03,Never,No, ,No, ,65,125,20.8579881656805,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,6,1,047,Suburban
1475,west_1,West,P,WA,9,1,Female,Single,12:01 AM - 4:59 AM,8:00 PM – 8:59 PM,6,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,A few nights a month, Never,Every night or almost every night,Rarely, Never,A few nights a month,Rarely, Never,A few nights a week,Rarely,A few nights a month,Yes,Yes,Yes,Yes,45 minutes up to 1 hour,Alone,Alone,Use an over-the-counter sleep aid,No,None, ,A few nights a month,A few nights a month,A few nights a month,A few nights a month, Never, Never, ,No, , , ,Never, , , , , , , , , , , , , , ,Every night or almost every night,Yes,Stress,Not very difficult,Rarely, Never,Rarely, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,6,You were too sleepy when you woke up,None,None,None,No,Makes it difficult for you to fall asleep,Very concerned,Completely disagree,Completely agree,Mostly agree,Completely agree,Morning person,04,01,Less than once a month,No, ,No, ,63,120,21.3151927437642,Every day,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,040,3,1,047,Suburban
1476,south_10,South,C,AL,6,1,Female,Married,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,Rarely,Every night or almost every night,Every night or almost every night, Never, Never, Never,A few nights a month, Never,Every night or almost every night, Never, Never,No,Yes,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Talk to your doctor,No,1 time, , Never, Never, Never,A few nights a month, Never,Don't Know, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,6,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Mostly agree,Don't Know,Completely agree,Morning person,03,00,1 to 2 times a month,No, ,No, ,62,105,19.2572840790843,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,030,Rural
1477,west_9,West,P,CA,9,1,Male,Married,7:15 AM – 7:29 AM,11:45 PM – 11:59 PM,7.5,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,A few nights a month, Never,Every night or almost every night,Rarely,Rarely,A few nights a week,A few nights a month,Rarely,Every night or almost every night,Rarely,A few nights a week,Yes,No,Yes,Yes,Depends/Varies,With your significant other,With your significant other,Self-treat it,Maybe,None, ,A few nights a month,A few nights a month,A few nights a month,A few nights a week,Rarely,Rarely,Worse at night,Yes,As loud as talking,1 to 2 nights a month?,Yes,Never, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,015,Little problems,A few nights a week,No,Noise,Somewhat difficult, Never, Never, Never, Never,Rarely,1 to 2 nights a month?,1 to 2 nights a week,Wake up on own,7.5,You were too sleepy when you woke up,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Completely agree,Mostly agree,Completely agree,Evening person,01,02,Less than once a month,No, ,No, ,71,170,23.7750446340012,Not at all,No,No,No,No,No,No,No,Yes,Working full-time,Regular day shifts,045,3,3,047,Suburban
1478,south_7,South,E,NC,5,1,Female,Married,5:30 AM – 5:44 AM,11:00 PM – 11:14 PM,4,9:00 AM – 9:14 AM,2:00 AM – 5:00 AM,5,Every night or almost every night, Never,Every night or almost every night, Never,A few nights a month,Every night or almost every night,A few nights a week, Never,Every night or almost every night, Never,A few nights a month,Yes,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Use an over-the-counter sleep aid,Yes,None, ,Every night or almost every night,Every night or almost every night,A few nights a week,Every night or almost every night,A few nights a week,Every night or almost every night,About the same,No, , , ,Never, ,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,No problems,Rarely,No,Wake up for no apparent reason,Very difficult,Every night or almost every night, Never, Never, Never,Don't Know,Every night or almost every night,3 to 4 nights a week,Bed partner,2,Traffic or transportation problems,None,None,None,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Mostly disagree,Completely agree,Morning person,04,00,1 to 2 times a month,No, ,No, ,67,145,22.7723323680107,Every day,No,No,No,Yes,Yes,No,No,No,Working full-time,Regular day shifts,040,6,2,041,Rural
1479,west_8,West,P,CA,9,1,Female,Separated,7:00 AM – 7:14 AM,10:00 PM – 10:14 PM,6,7:00 AM – 7:14 AM,12:00 AM (Midnight),8,A few nights a month,A few nights a month,A few nights a month,A few nights a month, Never,Every night or almost every night,A few nights a month,A few nights a month,Every night or almost every night, Never, Never,Yes,No,No,No,1 hour or more?,With your children,Alone,24,Yes,2 or 3 times,15 to less than 30 minutes,A few nights a week,Rarely,Every night or almost every night, Never, Never,A few nights a week, ,No, , , ,Never, , , , , , , , , , , , , , ,Rarely,No,Nightmares,Very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,6,You are never late or tardy?,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Don't Know,Completely agree,Mostly agree,Morning person,00,00,Never,No, ,No, ,57,102,22.1329639889197,Not at all,No,No,No,No,No,No,No,No,Working part-time,Regular day shifts,017,6,4,026,Don't Know
1480,ne_8,Northeast,E,NJ,2,1,Female,Married,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,8,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,8,Rarely, Never,A few nights a week,A few nights a week,Rarely,Every night or almost every night, Never, Never,Every night or almost every night, Never, Never,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,20,Maybe,2 or 3 times,15 to less than 30 minutes,Rarely,Every night or almost every night,Rarely,Rarely,A few nights a month,Every night or almost every night,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a month?,Yes,Never,No impact,Yes,No,No,Yes,Yes,Don't Know,Not sure,Yes,Yes,Yes,No,None,No problems,A few nights a month,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,8,Do not work, , ,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Morning person,02,07,Never,No, ,No, ,66,150,24.2768595041322,Not at all,No,No,No,Yes,No,No,No,No,Retired, , , ,1,071,Suburban
1481,south_8,South,E,GA,5,1,Male,Single,6:00 AM – 6:14 AM,7:00 PM – 7:59 PM,8,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,10,Rarely, Never,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely,Rarely,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Yes,Yes,Yes,Yes,1 hour or more?,Alone,Alone,Talk to your doctor,No,1 time, ,A few nights a week,Rarely,A few nights a week,Every night or almost every night,A few nights a month,Rarely,About the same,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,Yes,Noise,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,8,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Mostly agree,Completely agree,Mostly agree,Morning person,02,00,Never,Yes,Never,No, ,66,Don't Know,99,Not at all,No,No,No,No,No,No,No,No,Working part-time,Regular day shifts,011,9,2,018,Rural
1482,west_9,West,P,CA,9,1,Male,Married,8:00 AM – 8:14 AM,2:00 AM – 5:00 AM,6,10:00 AM – 10:59 AM,2:00 AM – 5:00 AM,8,Never,A few nights a month,Every night or almost every night,A few nights a month,Every night or almost every night,A few nights a month, Never, Never,A few nights a month,A few nights a month,Every night or almost every night,Yes,Yes,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Nothing,No,None, , Never,Rarely, Never,Every night or almost every night, Never, Never, ,Don't Know, , , ,Don't Know,Don't Know,No,No,No,Don't Know,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,Don't Know,None,No problems,Every night or almost every night,No,Nothing awakens me at night,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,5,You slept too late,None,None,None,No,Or does it have no impact on your sleep?,Not at all concerned,Mostly disagree,Mostly agree,Mostly agree,Don't Know,Evening person,02,Less than one,Never,No, ,No, ,Refused,Don't Know,99,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,5,4,033,Suburban
1483,south_8,South,C,TX,7,1,Female,Married,12:01 AM - 4:59 AM,10:45 PM – 10:59 PM,7,7:00 AM – 7:14 AM,10:45 PM – 10:59 PM,8,A few nights a week, Never,A few nights a week,Every night or almost every night,Rarely,Every night or almost every night,Rarely,Rarely,Every night or almost every night, Never,A few nights a week,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,4 or 5 times,15 to less than 30 minutes, Never,Rarely,Rarely, Never, Never, Never, ,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never,No impact,No,No,Don't Know,Don't Know,No,No,No,Yes,No,No,No,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,5,You are never late or tardy?,None,None,None,No,Makes it difficult for you to fall asleep, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,02,00,Never,No, ,No, ,63,210,37.3015873015873,Some days,No,No,No,No,No,No,No,Yes,Working full-time,Regular day shifts,038,6,2,059,Suburban
1484,south_9,South,E,SC,5,1,Female,Divorced,12:00 PM (Noon) – 5:59 PM,5:01 AM – 8:59 AM,6,10:00 AM – 10:59 AM,2:00 AM – 5:00 AM,7,A few nights a week,Rarely,Rarely,A few nights a week,Rarely,A few nights a month,Rarely,A few nights a week,A few nights a month, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,Self-treat it,No,None, , Never, Never, Never,A few nights a month,Rarely,Rarely,Worse at night,Yes,As loud as talking,1 to 2 nights a month?,No,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,Yes,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,You are never late or tardy?,None,None,1 to 2 days,No intimate or sexual relationship,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Completely agree,Completely agree,Completely agree,Evening person,06,00,1 to 2 times a month,No, ,No, ,64,158,27.19482421875,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular night shifts,046,3,1,051,Urban
1485,south_8,South,E,MD,5,1,Male,Living with someone,7:00 AM – 7:14 AM,12:00 AM (Midnight),7,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,8,A few nights a week,Rarely,Every night or almost every night,Rarely,Every night or almost every night,Every night or almost every night,Rarely, Never,Rarely,Rarely, Never,Yes,No,No,Yes,10 up to 15 minutes,With your significant other,With your significant other,Assume it will go away in time,No,1 time, ,Rarely,A few nights a month, Never,A few nights a week, Never,Rarely, ,Yes,As loud as talking,1 to 2 nights a week,Yes,Never,No impact,No,No,No,No,No,No,Yes,No,No,No,Yes,None,No problems,Every night or almost every night,Yes,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,6,You slept too late,None,1 to 2 days,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Completely disagree,Mostly agree,Evening person,01,02,3 or more times a week,No, ,Yes,1 to 2 days a month,75,220,27.5733333333333,Not at all,No,No,No,No,No,No,No,Yes,Working full-time,Regular day shifts,045,3,1,031,Urban
1486,ne_10,Northeast,E,RI,1,1,Male,Married,6:00 PM – 11:59 PM,12:00 PM (Noon) – 6:59 PM,5,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,8,A few nights a month, Never,Every night or almost every night,Rarely, Never,Every night or almost every night,A few nights a week, Never,A few nights a week, Never,Every night or almost every night,No,No,Yes,Yes,Less than 5 minutes,Alone,With your significant other,Talk to your doctor,No,2 or 3 times,15 to less than 30 minutes, Never,Rarely,Rarely,A few nights a month,Rarely,Rarely,About the same,Yes,Slightly louder than breathing,Don't Know,Yes,Never,No impact,Yes,Yes,No,Yes,Not sure,Yes,Not sure,Yes,No,Not sure,No,None,Little problems,A few nights a week,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,5,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Completely agree,Completely disagree,Mostly agree,Evening person,04,00,1 to 2 times a month,No, ,No, ,66,189,30.5888429752066,Not at all,No,No,Yes,No,No,No,No,No,Working full-time,Regular night shifts,040,7,1,055,Urban
1487,ne_10,Northeast,E,NJ,2,1,Female,Married,5:00 AM – 5:14 AM,7:00 PM – 7:59 PM,3.5,6:00 AM – 6:14 AM,12:00 AM (Midnight),6.5,Every night or almost every night,Rarely,Every night or almost every night,A few nights a month,A few nights a week,Rarely,Rarely, Never,Rarely,Rarely,Rarely,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,Use an over-the-counter sleep aid,No,More than 5 times,1 hour or more?,A few nights a month,A few nights a month,A few nights a month,Rarely,Rarely,Rarely,Worse at night,Yes,Slightly louder than breathing,Every night or almost every night,No,Never, ,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,None,No problems,Every night or almost every night,No,Nightmares,Somewhat difficult,Rarely, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,You are never late or tardy?,None,1 to 2 days,None,No,Makes it difficult for you to fall asleep, Somewhat concerned,Mostly disagree,Mostly agree,Mostly agree,Completely agree,Morning person,00,00,Never,No, ,No, ,63,259,46.005291005291,Some days,No,Yes,No,Yes,No,No,No,No,Working more than one job,Regular day shifts,050,1,3,050,Suburban
1488,ne_9,Northeast,E,NY,2,1,Male,Married,Don’t know,8:00 PM – 8:59 PM,Don't Know,Don’t know,Don't Know,Don't Know,Every night or almost every night, Never, Never, Never, Never, Never, Never, Never,Every night or almost every night, Never,Rarely,Yes,Yes,Yes,Yes,15 up to 30 minutes,Alone,Alone,Self-treat it,No,More than 5 times,15 to less than 30 minutes,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely,Every night or almost every night,Every night or almost every night,About the same,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never,No impact,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Don't Know,None,Don't Know, Never,No,Pain/Discomfort,Very difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Wake up on own,2,You are never late or tardy?,None,1 to 2 days,None,No,Or does it have no impact on your sleep?,Not really concerned,Mostly agree,Mostly disagree,Don't Know,Mostly agree,Evening person,Less than one,Less than one,1 to 2 times a week,No, ,No, ,72,180,24.4791666666667,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular night shifts,040,Refused,2,044,Urban
1489,west_1,West,P,CA,9,1,Male,Married,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,7,11:00 AM – 11:59 AM,12:00 AM (Midnight),7,Every night or almost every night,A few nights a week,Every night or almost every night, Never,Rarely, Never,Every night or almost every night, Never,A few nights a month,Rarely,A few nights a month,No,No,No,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,4 or 5 times,30 to less than 45 minutes, Never, Never, Never,Rarely, Never, Never, ,Yes,As loud as talking,3 to 4 nights a week,Yes,Never,Refused,No,No,No,No,Yes,No,No,No,No,No,Don't Know,None,No problems,Every night or almost every night,Yes,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,7,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Completely agree,Mostly disagree,Mostly agree,Morning person,02,01,Never,No, ,Yes,Less often or never?,67,180,28.2691022499443,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,3,3,047,Suburban
1490,west_9,West,P,CA,9,1,Female,Married,12:00 AM (Midnight),1:00 AM – 1:59 AM,9,12:00 AM (Midnight),1:00 AM – 1:59 AM,9,Rarely,Refused,Every night or almost every night,Rarely,Rarely, Never,A few nights a week, Never,Every night or almost every night, Never,A few nights a week,Yes,No,Yes,Yes,30 up to 45 minutes,With your significant other,Alone,Talk to your doctor,Yes,4 or 5 times,1 hour or more?,A few nights a week,Rarely, Never,Rarely,A few nights a month,Every night or almost every night,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never, ,No,No,No,No,No,No,Not sure,Yes,No,No,No,None,No problems,A few nights a week,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,8,Do not work, , ,None,No,Or does it have no impact on your sleep?,Not really concerned,Completely agree,Mostly agree,Completely agree,Mostly agree,Evening person,01,00,Never,No, ,No, ,65,240,40.0473372781065,Every day,No,Yes,No,Yes,Yes,No,No,No,Unemployed, , , ,1,025,Urban
1491,west_10,West,P,CA,9,1,Female,Married,12:01 AM - 4:59 AM,12:00 AM (Midnight),5,5:00 AM – 5:14 AM,12:00 AM (Midnight),5,Every night or almost every night, Never,A few nights a month,A few nights a week,Rarely,Every night or almost every night,Don't Know, Never,Every night or almost every night, Never,A few nights a week,Yes,Yes,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,45 minutes to less than 1 hour, Never,Every night or almost every night, Never,Rarely, Never,Rarely, ,No, , , ,Never,No impact,Yes,No,Yes,Yes,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,Yes,Noise,Not at all difficult, Never, Never, Never,Rarely, Never,1 to 2 nights a week,Every night or almost every night,Wake up on own,8,You needed to take care of others,None,3 to 5 days,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Don't Know,Mostly agree,Morning person,00,00,3 or more times a week,No, ,No, ,63,115,20.427059712774,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,056,Suburban
1492,ne_8,Northeast,E,CT,1,1,Female,Married,12:01 AM - 4:59 AM,11:00 PM – 11:14 PM,6,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,7,A few nights a month,Every night or almost every night,A few nights a week,Rarely,Every night or almost every night,A few nights a month,A few nights a month, Never,Rarely,Rarely,Every night or almost every night,No,Yes,Yes,No,15 up to 30 minutes,With your significant other,Alone,Talk to your doctor,No,None, ,A few nights a week,Every night or almost every night,A few nights a month,A few nights a week, Never,Rarely, ,No, , , ,Never, ,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,060,No problems,Rarely,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,Every night or almost every night,Alarm clock,10,Traffic or transportation problems,None,1 to 2 days,None,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely disagree,Completely disagree,Completely disagree,Evening person,07,00,3 or more times a week,No, ,Yes,1 to 2 days a week,57,110,23.8688827331487,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,045,1,3,032,Suburban
1493,west_9,West,P,WA,9,1,Female,Married,9:30 AM – 9:44 AM,12:00 AM (Midnight),10,9:30 AM – 9:44 AM,12:00 AM (Midnight),10,A few nights a week, Never,Rarely, Never,A few nights a week,A few nights a month,A few nights a month, Never,A few nights a week, Never,Rarely,Yes,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Talk to your doctor,Yes,2 or 3 times,1 hour or more?,Every night or almost every night,A few nights a month,A few nights a month,Every night or almost every night, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never, ,No,No,No,No,Yes,No,Yes,Yes,Not sure,Yes,No,None,Moderate problems,Rarely,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Children,8,Do not work, , ,1 to 2 days,Yes,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Completely agree,Mostly agree,Completely agree,Evening person,05,00,Less than once a month,No, ,Yes,Less often or never?,65,232,38.712426035503,Not at all,No,No,No,No,Yes,No,No,No,A homemaker, , , ,1,041,Suburban
1494,west_8,West,P,CA,9,1,Female,Married,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,8:00 AM – 8:14 AM,12:00 AM (Midnight),7,A few nights a week, Never,Every night or almost every night,A few nights a month,Rarely,Every night or almost every night,A few nights a week,Rarely,Every night or almost every night,Rarely,A few nights a week,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,2 or 3 times,1 hour or more?,Rarely,A few nights a week,Rarely,A few nights a week,A few nights a week,Rarely,Better at night,Yes,As loud as talking,3 to 4 nights a week,Yes,Never, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,030,Moderate problems,A few nights a week,No,The need to go to the bathroom,Not very difficult,A few nights a week, Never,Rarely,A few nights a month, Never,Every night or almost every night,3 to 4 nights a week,Alarm clock,8.5,You slept too late,None,None,1 to 2 days,No,Makes it difficult for you to fall asleep,Not really concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Evening person,03,01,Less than once a month,No, ,No, ,70,300,43.1632653061224,Not at all,No,No,No,Yes,Yes,Yes,No,No,Working part-time,Regular day shifts,015,6,1,041,Rural
1495,ne_3,Northeast,E,MA,1,1,Male,Married,5:00 AM – 5:14 AM,10:00 PM – 10:14 PM,7,5:00 AM – 5:14 AM,11:00 PM – 11:14 PM,6,Every night or almost every night, Never,A few nights a week,A few nights a week, Never, Never,A few nights a month,A few nights a week,Every night or almost every night, Never,A few nights a week,No,No,Yes,No,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,Maybe,None, , Never,A few nights a month,A few nights a week,A few nights a week, Never,Don't Know, ,Yes,Louder than talking,3 to 4 nights a week,Yes,Never,No impact,No,No,No,Yes,No,Yes,Yes,Don't Know,No,No,Yes,240,Moderate problems,A few nights a month,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Alarm clock,6,You are never late or tardy?,None,None,None,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Completely agree,Mostly agree,Morning person,04,00,1 to 2 times a week,No, ,Yes,Less often or never?,67,155,24.3428380485632,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Rotating shifts,060,7,1,032,Rural
1496,ne_2,Northeast,E,PA,2,1,Female,Divorced,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,9:00 AM – 9:14 AM,12:00 AM (Midnight),8,Rarely,A few nights a month,Every night or almost every night, Never, Never,A few nights a week, Never, Never,Every night or almost every night,Rarely, Never,Yes,No,Yes,Yes,5 up to 10 minutes,With your pet,With your pet,Talk to your doctor,No,1 time, ,Rarely,Rarely, Never,A few nights a month,A few nights a week,A few nights a month,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Don't Know, , , , , , , , , , , , , , ,Rarely,Yes,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,1 to 2 nights a week,Pet,8,You were too sleepy when you woke up,None,1 to 2 days,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Completely agree,Mostly agree,Mostly agree,Morning person,03,01,1 to 2 times a month,Yes,Less than once a month,Yes,1 to 2 days a month,65,280,46.7218934911243,Not at all,No,Yes,No,No,Yes,No,No,Yes,Working full-time,No info,060,1,1,053,Urban
1497,ne_3,Northeast,E,NH,1,1,Female,Married,7:00 AM – 7:14 AM,11:30 PM – 11:44 PM,6,7:00 AM – 7:14 AM,11:30 PM – 11:44 PM,5,Rarely, Never,Every night or almost every night, Never,A few nights a month,A few nights a month, Never, Never,A few nights a month, Never, Never,Yes,No,No,No,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,Less than 15 minutes,A few nights a month,Every night or almost every night,Rarely,Every night or almost every night, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,Yes,Yes,No,No,Yes,None,Little problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,5,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Mostly agree,Mostly disagree,Mostly disagree,Morning person,01,00,Never,No, ,No, ,63,170,30.1965230536659,Not at all,No,No,No,No,No,No,Yes,No,Retired, , , ,1,066,Rural
1498,ne_3,Northeast,E,NJ,2,1,Female,Living with someone,6:00 AM – 6:14 AM,12:00 AM (Midnight),4,6:00 AM – 6:14 AM,12:00 AM (Midnight),4,Rarely,A few nights a week,Every night or almost every night,Rarely,Rarely,Rarely,A few nights a week, Never,Every night or almost every night, Never,A few nights a month,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,Yes,None, ,Every night or almost every night,A few nights a month,A few nights a month,A few nights a week,Every night or almost every night,Every night or almost every night,Worse at night,No, , , ,Never, ,Yes,Yes,No,No,Yes,Yes,Don't Know,No,No,No,No,None,Little problems,Rarely,Yes,Pain/Discomfort,Very difficult,A few nights a week,A few nights a month, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,4,You needed to take care of others,None,None,None,No,Do not watch TV/these programs before bed,Not really concerned,Mostly agree,Completely agree,Completely disagree,Completely agree,Morning person,02,00,1 to 2 times a month,No, ,No, ,64,110,18.93310546875,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,1,1,037,Suburban
